valueset_pk,language_pk,parameter_pk,parameter_name,parameter_description,type_pk,variety_type,abbr,language_name,value_pk,domainelement_pk,attestation
309,13,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,NfldE,Newfoundland English,309,28,D
310,14,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,CollAmE,Colloquial American English,310,28,D
312,16,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,RAAVE,Rural African American Vernacular English,312,28,D
313,17,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,EAAVE,Earlier African American Vernacular English,313,28,D
315,19,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,L1t,AppE,Appalachian English,315,28,D
318,22,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,ChcE,Chicano English,318,28,D
333,37,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,LibSE,Liberian Settler English,333,28,D
337,41,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,NigE,Nigerian English,337,28,D
339,43,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,CamE,Cameroon English,339,28,D
341,45,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,TznE,Tanzanian English,341,28,D
342,46,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,KenE,Kenyan English,342,28,D
343,47,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,UgE,Ugandan English,343,28,D
344,48,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,WhZimE,White Zimbabwean English,344,28,D
345,49,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,BlSAfE,Black South African English,345,28,D
346,50,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,InSAfE,Indian South African English,346,28,D
347,51,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,WhSAfE,White South African English,347,28,D
348,52,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,IndE,Indian English,348,28,D
349,53,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,PakE,Pakistani English,349,28,D
351,55,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,SLkE,Sri Lankan English,351,28,D
352,56,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,HKE,Hong Kong English,352,28,D
353,57,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,CollSgE,Colloquial Singapore English (Singlish),353,28,D
354,58,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,MalE,Malaysian English,354,28,D
360,64,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,NZE,New Zealand English,360,28,D
363,67,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,FijiE,Acrolectal Fiji English,363,28,D
368,72,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,FlkE,Falkland Islands English,368,28,D
369,73,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,StHE,St. Helena English,369,28,D
370,74,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,2,L1c,TdCE,Tristan da Cunha English,370,28,D
17630,76,5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,3,L2,CFE,Cape Flats English,17630,28,D
371,1,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,O&SE,Orkney and Shetland English,371,34,D
372,2,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,ScE,Scottish English,372,34,D
373,3,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,IrE,Irish English,373,34,D
374,4,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,ManxE,Manx English,374,34,D
375,5,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,WelE,Welsh English,375,34,D
376,6,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,North,English dialects in the North of England,376,34,D
377,7,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,SW,English dialects in the Southwest of England,377,34,D
378,8,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,EA,East Anglian English,378,34,D
379,9,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,SE,English dialects in the Southeast of England,379,34,D
380,10,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,ChIsE,Channel Islands English,380,34,D
382,12,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,MaltE,Maltese English,382,34,D
384,14,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,CollAmE,Colloquial American English,384,34,D
385,15,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,UAAVE,Urban African American Vernacular English,385,34,D
386,16,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,RAAVE,Rural African American Vernacular English,386,34,D
387,17,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,EAAVE,Earlier African American Vernacular English,387,34,D
389,19,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,AppE,Appalachian English,389,34,D
390,20,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,L1t,SEAmE,Southeast American enclave dialects,390,34,D
392,22,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,ChcE,Chicano English,392,34,D
393,23,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,BahE,Bahamian English,393,34,D
407,37,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,LibSE,Liberian Settler English,407,34,D
411,41,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,NigE,Nigerian English,411,34,D
413,43,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,CamE,Cameroon English,413,34,D
415,45,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,TznE,Tanzanian English,415,34,D
416,46,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,KenE,Kenyan English,416,34,D
417,47,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,UgE,Ugandan English,417,34,D
418,48,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,WhZimE,White Zimbabwean English,418,34,D
420,50,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,InSAfE,Indian South African English,420,34,D
421,51,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,WhSAfE,White South African English,421,34,D
422,52,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,IndE,Indian English,422,34,D
423,53,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,PakE,Pakistani English,423,34,D
425,55,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,SLkE,Sri Lankan English,425,34,D
426,56,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,HKE,Hong Kong English,426,34,D
427,57,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,CollSgE,Colloquial Singapore English (Singlish),427,34,D
428,58,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,MalE,Malaysian English,428,34,D
434,64,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,NZE,New Zealand English,434,34,D
437,67,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,FijiE,Acrolectal Fiji English,437,34,D
442,72,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,FlkE,Falkland Islands English,442,34,D
443,73,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,StHE,St. Helena English,443,34,D
444,74,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,2,L1c,TdCE,Tristan da Cunha English,444,34,D
17631,76,6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,3,L2,CFE,Cape Flats English,17631,34,D
445,1,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,1,L1t,O&SE,Orkney and Shetland English,445,38,B
447,3,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,IrE,Irish English,447,38,B
448,4,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,ManxE,Manx English,448,38,B
451,7,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,1,L1t,SW,English dialects in the Southwest of England,451,38,B
454,10,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,ChIsE,Channel Islands English,454,38,B
456,12,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,MaltE,Maltese English,456,38,B
458,14,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,CollAmE,Colloquial American English,458,38,B
466,22,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,ChcE,Chicano English,466,38,B
470,26,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,JamE,Jamaican English,470,38,B
481,37,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,LibSE,Liberian Settler English,481,38,B
489,45,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,TznE,Tanzanian English,489,38,B
491,47,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,UgE,Ugandan English,491,38,B
492,48,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,WhZimE,White Zimbabwean English,492,38,B
495,51,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,WhSAfE,White South African English,495,38,B
497,53,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,PakE,Pakistani English,497,38,B
499,55,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,3,L2,SLkE,Sri Lankan English,499,38,B
501,57,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,CollSgE,Colloquial Singapore English (Singlish),501,38,B
503,59,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,AusE,Australian English,503,38,B
516,72,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,FlkE,Falkland Islands English,516,38,B
518,74,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,TdCE,Tristan da Cunha English,518,38,B
17397,75,7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,2,L1c,PhilE,Philippine English,17397,38,B
519,1,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,1,L1t,O&SE,Orkney and Shetland English,519,44,B
520,2,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,1,L1t,ScE,Scottish English,520,44,B
522,4,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,ManxE,Manx English,522,44,B
523,5,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,WelE,Welsh English,523,44,B
528,10,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,ChIsE,Channel Islands English,528,44,B
530,12,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,MaltE,Maltese English,530,44,B
532,14,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,CollAmE,Colloquial American English,532,44,B
533,15,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,UAAVE,Urban African American Vernacular English,533,44,B
534,16,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,RAAVE,Rural African American Vernacular English,534,44,B
541,23,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,BahE,Bahamian English,541,44,B
555,37,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,LibSE,Liberian Settler English,555,44,B
563,45,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,TznE,Tanzanian English,563,44,B
565,47,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,UgE,Ugandan English,565,44,B
566,48,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,WhZimE,White Zimbabwean English,566,44,B
567,49,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,BlSAfE,Black South African English,567,44,B
568,50,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,InSAfE,Indian South African English,568,44,B
574,56,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,HKE,Hong Kong English,574,44,B
592,74,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,2,L1c,TdCE,Tristan da Cunha English,592,44,B
17633,76,8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,3,L2,CFE,Cape Flats English,17633,44,B
593,1,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,1,L1t,O&SE,Orkney and Shetland English,593,52,D
594,2,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,1,L1t,ScE,Scottish English,594,52,D
596,4,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,ManxE,Manx English,596,52,D
597,5,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,WelE,Welsh English,597,52,D
600,8,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,1,L1t,EA,East Anglian English,600,52,D
601,9,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,1,L1t,SE,English dialects in the Southeast of England,601,52,D
602,10,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,ChIsE,Channel Islands English,602,52,D
629,37,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,LibSE,Liberian Settler English,629,52,D
631,39,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,GhE,Ghanaian English,631,52,D
633,41,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,NigE,Nigerian English,633,52,D
637,45,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,TznE,Tanzanian English,637,52,D
638,46,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,KenE,Kenyan English,638,52,D
639,47,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,UgE,Ugandan English,639,52,D
642,50,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,InSAfE,Indian South African English,642,52,D
644,52,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,IndE,Indian English,644,52,D
645,53,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,PakE,Pakistani English,645,52,D
647,55,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,SLkE,Sri Lankan English,647,52,D
649,57,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,CollSgE,Colloquial Singapore English (Singlish),649,52,D
650,58,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,3,L2,MalE,Malaysian English,650,52,D
664,72,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,FlkE,Falkland Islands English,664,52,D
17399,75,9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,2,L1c,PhilE,Philippine English,17399,52,D
667,1,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,O&SE,Orkney and Shetland English,667,58,D
668,2,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,ScE,Scottish English,668,58,D
669,3,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,IrE,Irish English,669,58,D
670,4,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,ManxE,Manx English,670,58,D
671,5,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,WelE,Welsh English,671,58,D
672,6,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,North,English dialects in the North of England,672,58,D
673,7,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,SW,English dialects in the Southwest of England,673,58,D
674,8,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,EA,East Anglian English,674,58,D
675,9,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,SE,English dialects in the Southeast of England,675,58,D
676,10,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,ChIsE,Channel Islands English,676,58,D
678,12,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,MaltE,Maltese English,678,58,D
679,13,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,NfldE,Newfoundland English,679,58,D
680,14,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,CollAmE,Colloquial American English,680,58,D
684,18,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,OzE,Ozark English,684,58,D
685,19,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,AppE,Appalachian English,685,58,D
686,20,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,L1t,SEAmE,Southeast American enclave dialects,686,58,D
688,22,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,ChcE,Chicano English,688,58,D
689,23,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,BahE,Bahamian English,689,58,D
692,26,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,JamE,Jamaican English,692,58,D
703,37,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,LibSE,Liberian Settler English,703,58,D
707,41,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,NigE,Nigerian English,707,58,D
711,45,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,TznE,Tanzanian English,711,58,D
712,46,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,KenE,Kenyan English,712,58,D
713,47,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,UgE,Ugandan English,713,58,D
714,48,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,WhZimE,White Zimbabwean English,714,58,D
716,50,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,InSAfE,Indian South African English,716,58,D
717,51,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,WhSAfE,White South African English,717,58,D
719,53,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,PakE,Pakistani English,719,58,D
721,55,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,SLkE,Sri Lankan English,721,58,D
723,57,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,CollSgE,Colloquial Singapore English (Singlish),723,58,D
730,64,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,NZE,New Zealand English,730,58,D
733,67,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,FijiE,Acrolectal Fiji English,733,58,D
738,72,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,FlkE,Falkland Islands English,738,58,D
739,73,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,StHE,St. Helena English,739,58,D
740,74,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",2,L1c,TdCE,Tristan da Cunha English,740,58,D
17635,76,10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",3,L2,CFE,Cape Flats English,17635,58,D
741,1,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",1,L1t,O&SE,Orkney and Shetland English,741,64,D
750,10,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",2,L1c,ChIsE,Channel Islands English,750,64,D
752,12,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",2,L1c,MaltE,Maltese English,752,64,D
762,22,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,ChcE,Chicano English,762,64,D
766,26,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,JamE,Jamaican English,766,64,D
785,45,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,TznE,Tanzanian English,785,64,D
786,46,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,KenE,Kenyan English,786,64,D
787,47,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,UgE,Ugandan English,787,64,D
788,48,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",2,L1c,WhZimE,White Zimbabwean English,788,64,D
790,50,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,InSAfE,Indian South African English,790,64,D
791,51,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",2,L1c,WhSAfE,White South African English,791,64,D
792,52,11,Regularized reflexives paradigm,"hisself, theirselves/theirself",3,L2,IndE,Indian English,792,64,D
