verb	intrans	trans	xtrans	ditrans	total	percent_intrans	percent_trans	percent_ditrans
experimental	1879.0	229.0	0.0	0.0	2108.0	0.8913662239089184	0.10863377609108159	0.0
experimented	12646.0	170.0	0.0	0.0	12816.0	0.9867353308364545	0.013264669163545567	0.0
experimenting	36937.0	1142.0	0.0	0.0	38079.0	0.9700097166417185	0.029990283358281467	0.0
expiate	3631.0	12265.0	0.0	0.0	15896.0	0.22842224458983393	0.771577755410166	0.0
expiated	4788.0	1674.0	0.0	0.0	6462.0	0.7409470752089137	0.2590529247910863	0.0
expiating	966.0	2075.0	0.0	0.0	3041.0	0.3176586649128576	0.6823413350871423	0.0
expire	49211.0	1300.0	0.0	0.0	50511.0	0.9742630318148522	0.02573696818514779	0.0
expired	164353.0	1240.0	0.0	0.0	165593.0	0.9925117607628342	0.007488239237165822	0.0
expires	17182.0	1579.0	0.0	0.0	18761.0	0.9158360428548585	0.08416395714514152	0.0
expiring	65884.0	3076.0	0.0	15.0	68975.0	0.9551866618339978	0.04459586806814063	0.00021747009786154403
explain	630884.0	808209.0	0.0	481.0	1439574.0	0.4382435359349363	0.5614223374414931	0.0003341266235705841
explained	713241.0	58050.0	0.0	64.0	771355.0	0.9246598518192013	0.0752571773048726	8.297087592613e-05
explaining	130678.0	235421.0	0.0	75.0	366174.0	0.35687405441129083	0.6429211249296782	0.00020482065903095248
explains	39130.0	49671.0	0.0	28.0	88829.0	0.44050929313625053	0.5591754944894123	0.0003152123743372097
explicate	1572.0	1441.0	0.0	0.0	3013.0	0.5217391304347826	0.4782608695652174	0.0
explicated	2152.0	11.0	0.0	0.0	2163.0	0.994914470642626	0.005085529357374018	0.0
explicit	3289.0	19.0	0.0	0.0	3308.0	0.9942563482466747	0.005743651753325272	0.0
explode	30884.0	5377.0	0.0	0.0	36261.0	0.8517139626596067	0.14828603734039325	0.0
exploded	57866.0	2180.0	0.0	0.0	60046.0	0.9636945008826566	0.03630549911734337	0.0
explodes	4324.0	500.0	0.0	0.0	4824.0	0.896351575456053	0.10364842454394693	0.0
exploding	33692.0	5209.0	0.0	0.0	38901.0	0.8660959872496851	0.1339040127503149	0.0
exploit	63398.0	61222.0	40.0	14.0	124674.0	0.5085101945874841	0.4910566758105138	0.0001122928597783018
exploited	41996.0	2205.0	0.0	0.0	44201.0	0.9501142508088052	0.04988574919119477	0.0
exploiting	17481.0	26147.0	0.0	0.0	43628.0	0.40068304758412027	0.5993169524158797	0.0
exploits	2410.0	1171.0	0.0	0.0	3581.0	0.6729963697291259	0.32700363027087404	0.0
explore	65756.0	161593.0	0.0	105.0	227454.0	0.28909581717622024	0.7104425510213054	0.00046163180247434647
explored	79230.0	14576.0	0.0	38.0	93844.0	0.8442734751289374	0.1553215975448617	0.0004049273262009292
explores	1633.0	2751.0	0.0	0.0	4384.0	0.37249087591240876	0.6275091240875912	0.0
exploring	85021.0	83941.0	0.0	0.0	168962.0	0.5031959848960121	0.49680401510398786	0.0
expofed	4021.0	48.0	0.0	0.0	4069.0	0.9882034898009339	0.01179651019906611	0.0
export	11634.0	21205.0	0.0	0.0	32839.0	0.3542738816650933	0.6457261183349067	0.0
exported	125368.0	2867.0	0.0	0.0	128235.0	0.9776426092720396	0.022357390727960384	0.0
exporting	53998.0	12455.0	0.0	0.0	66453.0	0.8125743006335304	0.18742569936646952	0.0
exports	3382.0	2982.0	0.0	0.0	6364.0	0.5314267756128221	0.46857322438717786	0.0
expose	29732.0	115592.0	0.0	214.0	145538.0	0.20429028844700353	0.7942393051986423	0.0014704063543541893
exposed	826395.0	30744.0	0.0	80.0	857219.0	0.9640418609480191	0.0358648140090222	9.332504295868384e-05
exposes	4129.0	9240.0	0.0	50.0	13419.0	0.3076980400924063	0.6885758998435054	0.003726060064088233
exposing	15013.0	93067.0	0.0	138.0	108218.0	0.13872923173594043	0.859995564508677	0.0012752037553826535
expostulate	8887.0	114.0	0.0	0.0	9001.0	0.9873347405843795	0.012665259415620486	0.0
expostulated	4878.0	88.0	0.0	0.0	4966.0	0.982279500604108	0.017720499395892066	0.0
expostulating	3482.0	17.0	0.0	0.0	3499.0	0.9951414689911403	0.004858531008859674	0.0
expound	12609.0	19315.0	0.0	0.0	31924.0	0.3949693020924696	0.6050306979075304	0.0
expounded	24140.0	4088.0	0.0	0.0	28228.0	0.8551792546407821	0.1448207453592178	0.0
expounding	6404.0	14895.0	0.0	0.0	21299.0	0.3006713930231466	0.6993286069768534	0.0
expounds	1431.0	1436.0	0.0	0.0	2867.0	0.49912800837111965	0.5008719916288804	0.0
exprefs	1907.0	1946.0	0.0	0.0	3853.0	0.49493900856475476	0.5050609914352453	0.0
express	190256.0	742320.0	0.0	525.0	933101.0	0.20389646994269645	0.7955408900001179	0.0005626400571856637
expressed	1066357.0	272807.0	14.0	260.0	1339438.0	0.7961227022079409	0.20367273438561545	0.00019411126158881562
expresses	30826.0	94735.0	60.0	130.0	125751.0	0.2451352275528624	0.7533538500687867	0.0010337889957137518
expressing	58344.0	408834.0	0.0	75.0	467253.0	0.12486597196807725	0.8749735154188416	0.0001605126130811359
expropriated	6423.0	82.0	0.0	0.0	6505.0	0.9873943120676403	0.012605687932359723	0.0
expunge	2569.0	2676.0	0.0	0.0	5245.0	0.4897998093422307	0.5102001906577693	0.0
expunged	7282.0	380.0	0.0	0.0	7662.0	0.950404594100757	0.049595405899243016	0.0
expunging	3227.0	1238.0	0.0	0.0	4465.0	0.7227323628219485	0.27726763717805153	0.0
expurgated	2157.0	0.0	0.0	0.0	2157.0	1.0	0.0	0.0
extend	155586.0	189152.0	0.0	280.0	345018.0	0.4509503851972941	0.5482380629416437	0.0008115518610623214
extended	416718.0	52914.0	18.0	183.0	469833.0	0.8869491925854506	0.11262299583043336	0.00038950009897133664
extending	395495.0	190100.0	0.0	152.0	585747.0	0.6751976535944699	0.32454284870430405	0.0002594977012259559
extends	117624.0	23873.0	0.0	13.0	141510.0	0.8312062751748993	0.16870185852589922	9.186629920146987e-05
extenuate	3996.0	5863.0	0.0	54.0	9913.0	0.40310703117118935	0.5914455765156865	0.005447392313124181
extenuated	1894.0	346.0	0.0	0.0	2240.0	0.8455357142857143	0.15446428571428572	0.0
extenuating	8466.0	2195.0	0.0	0.0	10661.0	0.7941093706031329	0.2058906293968671	0.0
exterior	1878.0	1126.0	0.0	0.0	3004.0	0.6251664447403462	0.3748335552596538	0.0
exterminate	6041.0	25243.0	0.0	31.0	31315.0	0.19291074564904998	0.8060993134280696	0.0009899409228804087
exterminated	18648.0	2488.0	0.0	0.0	21136.0	0.8822861468584405	0.11771385314155942	0.0
exterminating	12455.0	9097.0	0.0	34.0	21586.0	0.5769943481886408	0.42143055684239783	0.0015750949689613638
externalizing	1672.0	407.0	0.0	0.0	2079.0	0.8042328042328042	0.19576719576719576	0.0
extinct	4252.0	401.0	0.0	0.0	4653.0	0.9138190414786159	0.08618095852138405	0.0
extinguish	12935.0	51538.0	0.0	23.0	64496.0	0.20055507318283305	0.799088315554453	0.00035661126271396674
extinguished	102598.0	13017.0	0.0	0.0	115615.0	0.887410803096484	0.11258919690351597	0.0
extinguishes	806.0	3786.0	0.0	0.0	4592.0	0.1755226480836237	0.8244773519163763	0.0
extinguishing	9627.0	21846.0	0.0	10.0	31483.0	0.30578407394466856	0.6938982943175682	0.0003176317377632373
extirpate	4640.0	17875.0	0.0	15.0	22530.0	0.20594762538837105	0.7933865956502442	0.0006657789613848203
extirpated	10409.0	1299.0	0.0	0.0	11708.0	0.8890502220703792	0.11094977792962077	0.0
extirpating	1580.0	6134.0	0.0	0.0	7714.0	0.20482240082966036	0.7951775991703396	0.0
extol	3901.0	8415.0	0.0	0.0	12316.0	0.31674244884702824	0.6832575511529717	0.0
extolled	10754.0	4097.0	0.0	0.0	14851.0	0.7241263214598344	0.27587367854016565	0.0
extolling	1573.0	9730.0	0.0	0.0	11303.0	0.13916659293992745	0.8608334070600725	0.0
extort	5823.0	21434.0	0.0	33.0	27290.0	0.2133748625870282	0.7854159032612679	0.001209234151703921
extorted	21000.0	4897.0	0.0	0.0	25897.0	0.8109047380005406	0.1890952619994594	0.0
extorting	2880.0	7533.0	0.0	0.0	10413.0	0.27657735522904064	0.7234226447709594	0.0
extra	4605.0	726.0	0.0	0.0	5331.0	0.8638154192459201	0.1361845807540799	0.0
extract	314102.0	96441.0	89.0	51.0	410683.0	0.7648283469245135	0.2348307575429224	0.00012418337257690237
extracted	140492.0	7140.0	0.0	0.0	147632.0	0.9516365015714751	0.048363498428524984	0.0
extracting	22450.0	40219.0	0.0	14.0	62683.0	0.3581513328972768	0.6416253210599365	0.00022334604278672048
extracts	2456.0	1894.0	0.0	0.0	4350.0	0.5645977011494253	0.4354022988505747	0.0
extrapolated	2224.0	0.0	0.0	0.0	2224.0	1.0	0.0	0.0
extrapolating	1402.0	1285.0	0.0	0.0	2687.0	0.5217714923706737	0.4782285076293264	0.0
extravagance	3632.0	57.0	0.0	0.0	3689.0	0.9845486581729466	0.015451341827053402	0.0
extremes	1875.0	307.0	0.0	0.0	2182.0	0.8593033913840513	0.14069660861594868	0.0
extremities	2373.0	154.0	0.0	0.0	2527.0	0.9390581717451524	0.060941828254847646	0.0
extricate	1295.0	37983.0	36.0	11.0	39325.0	0.032930705657978385	0.9658741258741259	0.0002797202797202797
extricated	4907.0	3398.0	0.0	48.0	8353.0	0.5874536094816234	0.4067999521130133	0.005746438405363342
extricating	356.0	10404.0	0.0	0.0	10760.0	0.03308550185873606	0.966914498141264	0.0
extruded	6574.0	51.0	0.0	0.0	6625.0	0.9923018867924528	0.00769811320754717	0.0
extruding	2580.0	178.0	0.0	0.0	2758.0	0.9354604786076868	0.06453952139231327	0.0
exude	2249.0	1075.0	0.0	0.0	3324.0	0.6765944645006017	0.3234055354993983	0.0
exuded	2863.0	238.0	0.0	0.0	3101.0	0.9232505643340858	0.07674943566591422	0.0
exudes	4703.0	680.0	0.0	0.0	5383.0	0.8736763886308749	0.126323611369125	0.0
exuding	3463.0	1253.0	0.0	0.0	4716.0	0.7343087362171332	0.26569126378286684	0.0
exult	10614.0	186.0	0.0	0.0	10800.0	0.9827777777777778	0.017222222222222222	0.0
exulted	5606.0	31.0	0.0	0.0	5637.0	0.9945006208976406	0.005499379102359411	0.0
exulting	34052.0	2066.0	0.0	0.0	36118.0	0.9427986045738966	0.05720139542610333	0.0
exults	2205.0	10.0	0.0	0.0	2215.0	0.9954853273137697	0.004514672686230248	0.0
eye	2448.0	0.0	0.0	18.0	2466.0	0.9927007299270073	0.0	0.0072992700729927005
eyed	4491.0	6283.0	0.0	22.0	10796.0	0.4159874027417562	0.5819748054835124	0.002037791774731382
eyeing	459.0	9639.0	0.0	59.0	10157.0	0.04519050900856552	0.9490006891798759	0.005808801811558531
eying	189.0	2099.0	0.0	32.0	2320.0	0.0814655172413793	0.9047413793103448	0.013793103448275862
fa	2413.0	99.0	0.0	0.0	2512.0	0.9605891719745223	0.039410828025477705	0.0
fabricate	3905.0	3663.0	0.0	19.0	7587.0	0.5146961908527745	0.48279952550415184	0.0025042836430736785
fabricated	25463.0	790.0	0.0	0.0	26253.0	0.9699082009675085	0.030091799032491526	0.0
fabricating	6428.0	4430.0	0.0	0.0	10858.0	0.5920058942715049	0.4079941057284951	0.0
face	424466.0	383983.0	0.0	201.0	808650.0	0.5249069436715513	0.4748444939096024	0.0002485624188462252
faced	208141.0	56472.0	13.0	30.0	264656.0	0.7864586482074845	0.21337887673054834	0.00011335469439574391
faces	28638.0	18109.0	11.0	31.0	46789.0	0.6120669388104042	0.3870354143067815	0.0006625488896962961
faceted	3136.0	0.0	0.0	0.0	3136.0	1.0	0.0	0.0
facilitate	24064.0	275180.0	0.0	34.0	299278.0	0.08040684580891345	0.9194795474441824	0.00011360674690421615
facilitated	15131.0	7262.0	0.0	0.0	22393.0	0.6757022283749387	0.3242977716250614	0.0
facilitates	2496.0	17232.0	0.0	0.0	19728.0	0.12652068126520682	0.8734793187347932	0.0
facilitating	12666.0	61171.0	0.0	0.0	73837.0	0.17154001381421238	0.8284599861857876	0.0
facing	169086.0	459582.0	27.0	180.0	628875.0	0.2688706022659511	0.7308002385211687	0.0002862254025044723
faction	2470.0	280.0	0.0	0.0	2750.0	0.8981818181818182	0.10181818181818182	0.0
factor	719.0	2279.0	0.0	0.0	2998.0	0.23982655103402267	0.7601734489659773	0.0
faculties	2440.0	375.0	0.0	0.0	2815.0	0.866785079928952	0.13321492007104796	0.0
fade	77191.0	1072.0	0.0	0.0	78263.0	0.9863025950960224	0.013697404903977613	0.0
faded	208314.0	3818.0	0.0	0.0	212132.0	0.9820017724812853	0.017998227518714764	0.0
fades	17820.0	655.0	11.0	0.0	18486.0	0.9639727361246349	0.035432218976522774	0.0
fadeth	3711.0	153.0	0.0	0.0	3864.0	0.9604037267080745	0.039596273291925464	0.0
fading	44041.0	2056.0	0.0	0.0	46097.0	0.9553983990281363	0.04460160097186368	0.0
fagged	4061.0	51.0	0.0	18.0	4130.0	0.9832929782082325	0.012348668280871672	0.0043583535108958835
fahrenheit	3772.0	226.0	0.0	0.0	3998.0	0.943471735867934	0.05652826413206603	0.0
faid	47411.0	5356.0	0.0	0.0	52767.0	0.8984971667898497	0.10150283321015029	0.0
fail	313412.0	13826.0	0.0	36.0	327274.0	0.9576440536064582	0.042245946821317916	0.00010999957222388579
returns	37159.0	12782.0	0.0	238.0	50179.0	0.7405289065146775	0.25472807349688115	0.00474301998844138
reunite	3592.0	4320.0	0.0	0.0	7912.0	0.4539939332659252	0.5460060667340748	0.0
reunited	13219.0	715.0	0.0	0.0	13934.0	0.9486866657097747	0.051313334290225346	0.0
reuniting	1625.0	1545.0	0.0	0.0	3170.0	0.5126182965299685	0.48738170347003157	0.0
reused	5645.0	136.0	0.0	0.0	5781.0	0.9764746583636049	0.023525341636395088	0.0
rev.	14900.0	51.0	0.0	0.0	14951.0	0.9965888569326466	0.0034111430673533544	0.0
revamped	3158.0	32.0	0.0	0.0	3190.0	0.9899686520376175	0.010031347962382446	0.0
reveal	63484.0	154886.0	12.0	116.0	218498.0	0.29054728189731716	0.7088669003835275	0.0005308973079845125
revealed	332124.0	44943.0	33.0	38.0	377138.0	0.8806431597982701	0.11916858020141169	0.0001007588734097333
revealing	73517.0	81975.0	0.0	47.0	155539.0	0.47265959019924264	0.5270382347835592	0.00030217501719825894
reveals	27023.0	36253.0	0.0	11.0	63287.0	0.4269913252326702	0.5728348634000664	0.00017381136726341904
revel	9036.0	323.0	0.0	0.0	9359.0	0.9654877657869431	0.03451223421305695	0.0
revelled	4362.0	84.0	0.0	0.0	4446.0	0.9811066126855601	0.018893387314439947	0.0
revelling	5844.0	69.0	0.0	0.0	5913.0	0.9883307965499746	0.011669203450025367	0.0
revenge	9677.0	38098.0	0.0	44.0	47819.0	0.20236725987578158	0.7967126037767415	0.0009201363474769444
revenged	17220.0	3332.0	0.0	0.0	20552.0	0.837874659400545	0.16212534059945505	0.0
revenging	2147.0	7163.0	0.0	0.0	9310.0	0.23061224489795917	0.7693877551020408	0.0
reverberated	3549.0	98.0	0.0	0.0	3647.0	0.9731285988483686	0.026871401151631478	0.0
reverberating	7422.0	707.0	0.0	0.0	8129.0	0.9130274326485422	0.08697256735145774	0.0
revere	12819.0	8775.0	10.0	0.0	21604.0	0.5933623403073505	0.4061747824476949	0.0
revered	39817.0	4495.0	0.0	11.0	44323.0	0.8983372064165331	0.10141461543668073	0.000248178146786093
reverence	8894.0	14926.0	0.0	125.0	23945.0	0.37143453748172894	0.6233451660054291	0.00522029651284193
reverenced	13302.0	2856.0	0.0	211.0	16369.0	0.8126336367523979	0.1744761439306005	0.01289021931700165
reverencing	668.0	1708.0	0.0	0.0	2376.0	0.28114478114478114	0.7188552188552189	0.0
reveres	1328.0	785.0	0.0	0.0	2113.0	0.628490298154283	0.37150970184571697	0.0
reverse	28420.0	71806.0	0.0	21.0	100247.0	0.283499755603659	0.7162907618183088	0.0002094825780322603
reversed	175972.0	7863.0	0.0	21.0	183856.0	0.9571186145679227	0.04276716560786702	0.00011421982421025151
reverses	2831.0	3462.0	11.0	0.0	6304.0	0.4490799492385787	0.5491751269035533	0.0
reversing	31363.0	54778.0	0.0	0.0	86141.0	0.3640891097154665	0.6359108902845335	0.0
revert	24961.0	162.0	0.0	0.0	25123.0	0.9935517255104884	0.006448274489511603	0.0
reverted	9120.0	159.0	0.0	0.0	9279.0	0.9828645328160363	0.01713546718396379	0.0
reverting	9587.0	121.0	0.0	0.0	9708.0	0.9875360527400082	0.012463947259991759	0.0
review	45457.0	105118.0	0.0	88.0	150663.0	0.301713094787705	0.6977028202013765	0.0005840850109184073
reviewed	100236.0	8575.0	0.0	38.0	108849.0	0.920872033734807	0.07877885878602468	0.00034910747916838924
reviewing	44156.0	79347.0	0.0	76.0	123579.0	0.35730989893104814	0.6420751098487607	0.0006149912201911328
reviews	5380.0	3644.0	0.0	0.0	9024.0	0.5961879432624113	0.40381205673758863	0.0
revile	3625.0	7076.0	0.0	0.0	10701.0	0.33875338753387535	0.6612466124661247	0.0
reviled	14767.0	3666.0	0.0	0.0	18433.0	0.8011175608962188	0.19888243910378126	0.0
reviling	5749.0	3741.0	0.0	0.0	9490.0	0.605795574288725	0.394204425711275	0.0
revise	17554.0	43788.0	0.0	32.0	61374.0	0.2860168801120996	0.713461726463975	0.0005213934239254407
revised	665082.0	9597.0	0.0	44.0	674723.0	0.9857111733259426	0.014223614727821639	6.521194623571451e-05
revising	18920.0	29676.0	0.0	0.0	48596.0	0.38933245534611904	0.610667544653881	0.0
revisit	1976.0	16074.0	0.0	33.0	18083.0	0.10927390366642703	0.8889011779018968	0.00182491843167616
revisited	3930.0	1840.0	0.0	0.0	5770.0	0.6811091854419411	0.3188908145580589	0.0
revisiting	1242.0	6004.0	0.0	36.0	7282.0	0.17055753913759955	0.8244987640758034	0.004943696786597089
revitalize	1086.0	1697.0	0.0	0.0	2783.0	0.39022637441609775	0.6097736255839022	0.0
revitalized	6151.0	55.0	0.0	0.0	6206.0	0.9911376087657106	0.008862391234289398	0.0
revitalizing	1786.0	928.0	0.0	0.0	2714.0	0.658069270449521	0.341930729550479	0.0
revive	43131.0	99248.0	0.0	104.0	142483.0	0.30270979695823363	0.696560291403185	0.0007299116385814449
revived	128247.0	16152.0	0.0	94.0	144493.0	0.8875654876014755	0.11178396185282333	0.0006505505457011758
revives	4077.0	2775.0	0.0	0.0	6852.0	0.5950087565674256	0.4049912434325744	0.0
revivified	2118.0	84.0	0.0	0.0	2202.0	0.9618528610354223	0.03814713896457766	0.0
reviving	40612.0	30427.0	17.0	0.0	71056.0	0.5715492006304886	0.4282115514523756	0.0
revoke	11839.0	17546.0	0.0	0.0	29385.0	0.4028926322953888	0.5971073677046111	0.0
revoked	25365.0	2539.0	0.0	0.0	27904.0	0.9090094610091743	0.09099053899082568	0.0
revoking	3384.0	6251.0	0.0	0.0	9635.0	0.35121951219512193	0.6487804878048781	0.0
revolted	60017.0	1315.0	0.0	19.0	61351.0	0.9782562631415951	0.021434043454874412	0.0003096934035305048
revolting	6954.0	591.0	0.0	0.0	7545.0	0.9216699801192842	0.07833001988071571	0.0
revolts	1946.0	686.0	0.0	0.0	2632.0	0.7393617021276596	0.26063829787234044	0.0
revolutionize	1144.0	7793.0	0.0	0.0	8937.0	0.12800716123978964	0.8719928387602104	0.0
revolutionized	4112.0	2813.0	0.0	0.0	6925.0	0.5937906137184116	0.4062093862815884	0.0
revolutionizing	2094.0	2478.0	0.0	0.0	4572.0	0.458005249343832	0.541994750656168	0.0
revolve	42909.0	3243.0	0.0	0.0	46152.0	0.9297321892875715	0.07026781071242849	0.0
revolved	13745.0	1403.0	0.0	0.0	15148.0	0.9073805122788486	0.0926194877211513	0.0
revolves	21542.0	478.0	0.0	0.0	22020.0	0.9782924613987284	0.021707538601271573	0.0
revolving	132794.0	10927.0	0.0	73.0	143794.0	0.9235016760087347	0.07599065329568688	0.0005076706955783969
reward	23914.0	59093.0	0.0	186.0	83193.0	0.28745206928467537	0.7103121656870169	0.0022357650283076702
rewarded	90532.0	12453.0	0.0	0.0	102985.0	0.8790794775938243	0.12092052240617565	0.0
rewarding	2961.0	11113.0	0.0	0.0	14074.0	0.21038794941026007	0.7896120505897399	0.0
rewards	1565.0	4611.0	0.0	0.0	6176.0	0.2534002590673575	0.7465997409326425	0.0
reworked	3045.0	68.0	0.0	0.0	3113.0	0.9781561194988757	0.02184388050112432	0.0
rewrite	4100.0	8988.0	0.0	35.0	13123.0	0.31242856054255885	0.6849043663796388	0.0026670730778023317
rewriting	8146.0	5213.0	0.0	18.0	13377.0	0.60895567018016	0.38969873663751214	0.0013455931823278763
rewritten	17738.0	330.0	0.0	40.0	18108.0	0.9795670421912966	0.018223989396951624	0.002208968411751712
rhyme	7598.0	445.0	0.0	0.0	8043.0	0.9446723859256496	0.05532761407435036	0.0
rhyming	12284.0	1926.0	0.0	0.0	14210.0	0.8644616467276566	0.13553835327234343	0.0
ribbed	7922.0	61.0	0.0	0.0	7983.0	0.9923587623700363	0.007641237629963673	0.0
riches	4430.0	1238.0	40.0	0.0	5708.0	0.7761037140854941	0.2168885774351787	0.0
rid	2885.0	36707.0	0.0	40.0	39632.0	0.07279471134436818	0.9261960032297134	0.0010092854259184498
ridden	17685.0	2156.0	0.0	65.0	19906.0	0.8884256003215111	0.10830905254697076	0.0032653471315181354
ridding	719.0	9801.0	0.0	0.0	10520.0	0.06834600760456273	0.9316539923954372	0.0
riddled	7452.0	489.0	0.0	0.0	7941.0	0.938420853796751	0.06157914620324896	0.0
riddling	2249.0	170.0	0.0	0.0	2419.0	0.9297230260438197	0.07027697395618024	0.0
ride	207661.0	53145.0	0.0	225.0	261031.0	0.7955415257191675	0.2035965076944884	0.0008619665863441507
ridicule	29425.0	18102.0	0.0	0.0	47527.0	0.6191217623666547	0.3808782376333453	0.0
ridiculed	23796.0	6831.0	0.0	0.0	30627.0	0.7769615045548046	0.2230384954451954	0.0
ridicules	2104.0	1206.0	0.0	0.0	3310.0	0.6356495468277945	0.36435045317220544	0.0
ridiculing	3218.0	7176.0	0.0	0.0	10394.0	0.30960169328458725	0.6903983067154127	0.0
riding	318994.0	54129.0	0.0	128.0	373251.0	0.8546366921990832	0.1450203750291359	0.00034293277178091956
rife	3407.0	95.0	0.0	0.0	3502.0	0.9728726442033124	0.027127355796687607	0.0
rifing	4480.0	161.0	0.0	0.0	4641.0	0.9653092006033183	0.03469079939668175	0.0
rifled	5186.0	2142.0	0.0	0.0	7328.0	0.7076965065502183	0.2923034934497817	0.0
rifling	1900.0	1513.0	0.0	0.0	3413.0	0.5566949897450922	0.4433050102549077	0.0
rigged	7140.0	799.0	0.0	0.0	7939.0	0.8993576017130621	0.1006423982869379	0.0
rigging	19260.0	2937.0	16.0	0.0	22213.0	0.8670598298293792	0.13221987124656734	0.0
righted	6292.0	1699.0	0.0	0.0	7991.0	0.7873858090351645	0.21261419096483544	0.0
righteousness	5767.0	213.0	0.0	0.0	5980.0	0.9643812709030101	0.035618729096989966	0.0
righting	8758.0	5570.0	0.0	0.0	14328.0	0.611250697934115	0.388749302065885	0.0
riming	2655.0	304.0	0.0	0.0	2959.0	0.8972625887124028	0.10273741128759716	0.0
rimmed	2100.0	346.0	0.0	0.0	2446.0	0.8585445625511039	0.14145543744889616	0.0
rinding	1579.0	1286.0	0.0	0.0	2865.0	0.5511343804537522	0.4488656195462478	0.0
ring	33706.0	22415.0	20.0	57.0	56198.0	0.5997722338873269	0.39885761059112423	0.0010142709704971707
ringed	5361.0	363.0	0.0	0.0	5724.0	0.9365828092243187	0.06341719077568134	0.0
ringing	97386.0	26893.0	0.0	36.0	124315.0	0.7833809274826047	0.2163294855809838	0.0002895869364115352
rinse	3471.0	4253.0	0.0	25.0	7749.0	0.44792876500193574	0.5488450122596464	0.0032262227384178602
rinsed	13198.0	1644.0	0.0	0.0	14842.0	0.8892332569734537	0.1107667430265463	0.0
rinsing	11421.0	2336.0	0.0	0.0	13757.0	0.8301955368176201	0.16980446318237988	0.0
riot	7068.0	91.0	0.0	0.0	7159.0	0.9872887274759045	0.012711272524095544	0.0
rioting	7949.0	564.0	0.0	0.0	8513.0	0.9337483848232115	0.06625161517678844	0.0
riots	2440.0	139.0	0.0	0.0	2579.0	0.9461031407522296	0.053896859247770455	0.0
rip	6408.0	3221.0	0.0	0.0	9629.0	0.665489666632049	0.334510333367951	0.0
ripen	35968.0	6336.0	0.0	0.0	42304.0	0.8502269288956127	0.14977307110438728	0.0
ripened	19698.0	984.0	0.0	0.0	20682.0	0.9524223962866261	0.047577603713373946	0.0
ripening	48365.0	7197.0	0.0	0.0	55562.0	0.8704690255930312	0.12953097440696879	0.0
ripens	10286.0	2036.0	0.0	0.0	12322.0	0.8347670832657036	0.16523291673429638	0.0
ripped	9193.0	2611.0	0.0	0.0	11804.0	0.7788037953236191	0.22119620467638088	0.0
ripping	8379.0	1627.0	0.0	0.0	10006.0	0.8373975614631222	0.16260243853687786	0.0
rippled	2838.0	274.0	0.0	10.0	3122.0	0.9090326713645099	0.0877642536835362	0.0032030749519538757
rippling	30295.0	2495.0	0.0	0.0	32790.0	0.9239097285757853	0.0760902714242147	0.0
rise	665812.0	28398.0	344.0	59.0	694613.0	0.958536623990625	0.04088319683046531	8.493938351283376e-05
